vocab_size,model_type,text_column,ngram,accuracy_round1
8196,MultinomialNB(),text_lancaster_stemmed,"(1, 2)",0.7525
8196,MultinomialNB(),text_porter_stemmed,"(1, 2)",0.752
8196,MultinomialNB(),text_porter_stemmed,"(1, 4)",0.7515
16384,MultinomialNB(),text_porter_stemmed,"(1, 4)",0.751
16384,MultinomialNB(),text_lancaster_stemmed,"(1, 3)",0.751
16384,MultinomialNB(),text_porter_stemmed,"(1, 2)",0.7505
16384,MultinomialNB(),text_porter_stemmed,"(1, 3)",0.7505
8196,MultinomialNB(),text_lancaster_stemmed,"(1, 3)",0.7485
1024,MultinomialNB(),text_porter_stemmed,"(1, 1)",0.7485
16384,MultinomialNB(),text_lancaster_stemmed,"(1, 2)",0.748
8196,MultinomialNB(),text_porter_stemmed,"(1, 1)",0.748
8196,BernoulliNB(),text_porter_stemmed,"(1, 2)",0.7475
8196,MultinomialNB(),text_lemmatized,"(1, 2)",0.747
1024,MultinomialNB(),text_porter_stemmed,"(1, 4)",0.747
16384,MultinomialNB(),text_lancaster_stemmed,"(1, 4)",0.746
1024,MultinomialNB(),text_porter_stemmed,"(1, 2)",0.7455
8196,MultinomialNB(),text_porter_stemmed,"(1, 3)",0.7455
8196,MultinomialNB(),text_lemmatized,"(1, 3)",0.7455
8196,MultinomialNB(),text_lancaster_stemmed,"(1, 4)",0.745
16384,MultinomialNB(),text_porter_stemmed,"(1, 1)",0.745
16384,MultinomialNB(),text_lemmatized,"(1, 2)",0.745
8196,BernoulliNB(),text_lemmatized,"(1, 2)",0.745
1024,MultinomialNB(),text_porter_stemmed,"(1, 3)",0.745
16384,MultinomialNB(),text_no_numerals,"(1, 2)",0.7445
8196,MultinomialNB(),text_lemmatized,"(1, 4)",0.7445
8196,MultinomialNB(),text_no_numerals,"(1, 2)",0.744
8196,BernoulliNB(),text_lancaster_stemmed,"(1, 2)",0.744
8196,BernoulliNB(),text_porter_stemmed,"(1, 4)",0.7435
8196,MultinomialNB(),text_no_numerals,"(1, 3)",0.7435
16384,BernoulliNB(),text_porter_stemmed,"(1, 1)",0.7425
1024,MultinomialNB(),text_lemmatized,"(1, 3)",0.7425
8196,BernoulliNB(),text_lancaster_stemmed,"(1, 4)",0.742
16384,BernoulliNB(),text_lancaster_stemmed,"(1, 2)",0.742
16384,BernoulliNB(),text_lemmatized,"(1, 1)",0.7415
8196,BernoulliNB(),text_lancaster_stemmed,"(1, 3)",0.741
8196,MultinomialNB(),text_lancaster_stemmed,"(1, 1)",0.741
8196,BernoulliNB(),text_porter_stemmed,"(1, 1)",0.741
8196,MultinomialNB(),text_no_numerals,"(1, 4)",0.741
1024,MultinomialNB(),text_lemmatized,"(1, 1)",0.741
1024,MultinomialNB(),text_lemmatized,"(1, 2)",0.741
1024,MultinomialNB(),text_lemmatized,"(1, 4)",0.741
1024,MultinomialNB(),text_no_numerals,"(1, 2)",0.7405
1024,MultinomialNB(),text_lancaster_stemmed,"(1, 4)",0.7405
1024,MultinomialNB(),text_no_numerals,"(1, 4)",0.7405
16384,BernoulliNB(),text_porter_stemmed,"(1, 2)",0.7405
1024,MultinomialNB(),text_lancaster_stemmed,"(1, 2)",0.74
16384,BernoulliNB(),text_lemmatized,"(1, 2)",0.74
8196,BernoulliNB(),text_lemmatized,"(1, 1)",0.7395
16384,MultinomialNB(),text_lancaster_stemmed,"(1, 1)",0.7395
1024,MultinomialNB(),text_lancaster_stemmed,"(1, 3)",0.7395
16384,MultinomialNB(),text_lemmatized,"(1, 3)",0.7395
1024,MultinomialNB(),text_no_numerals,"(1, 3)",0.739
16384,MultinomialNB(),text_lemmatized,"(1, 4)",0.739
8196,BernoulliNB(),text_porter_stemmed,"(1, 3)",0.739
16384,MultinomialNB(),text_no_numerals,"(1, 3)",0.739
16384,BernoulliNB(),text_lemmatized,"(1, 3)",0.7385
16384,MultinomialNB(),text_no_numerals,"(1, 4)",0.738
16384,BernoulliNB(),text_lancaster_stemmed,"(1, 4)",0.7375
16384,MultinomialNB(),text_lemmatized,"(1, 1)",0.7375
8196,BernoulliNB(),text_lemmatized,"(1, 3)",0.737
16384,BernoulliNB(),text_lancaster_stemmed,"(1, 3)",0.737
1024,BernoulliNB(),text_porter_stemmed,"(1, 1)",0.7365
8196,MultinomialNB(),text_lemmatized,"(1, 1)",0.7365
1024,BernoulliNB(),text_porter_stemmed,"(1, 2)",0.7365
8196,BernoulliNB(),text_lemmatized,"(1, 4)",0.736
16384,MultinomialNB(),text_no_numerals,"(1, 1)",0.736
8196,BernoulliNB(),text_no_numerals,"(1, 1)",0.736
1024,MultinomialNB(),text_no_numerals,"(1, 1)",0.7355
1024,BernoulliNB(),text_lemmatized,"(1, 1)",0.7355
8196,BernoulliNB(),text_no_numerals,"(1, 3)",0.7355
8196,BernoulliNB(),text_no_numerals,"(1, 2)",0.7355
16384,BernoulliNB(),text_no_numerals,"(1, 1)",0.7355
1024,BernoulliNB(),text_no_numerals,"(1, 1)",0.7355
16384,BernoulliNB(),text_lancaster_stemmed,"(1, 1)",0.7345
8196,MultinomialNB(),text_no_numerals,"(1, 1)",0.7345
1024,BernoulliNB(),text_porter_stemmed,"(1, 3)",0.734
